"locationID","ancientcity","ancientregion","country","lat","longi"
"Y3C8A8Z3ZN","Jerusalem","Palestine","Palestinian Territory",31.704306,35.207639
"QNN18F5OGO","Milan","Italy","Italy",45.355168,10.141892
"6KHDOUPZPE","Kartli","Georgia","Georgia",41.26666667,44.50277778
"LYHIGY0F7F","Tagrit","Mesoptamia","Iraq",34.6,43.68333333
"E2AMGW9H7V","Lutetia","Lugdunensis IV","France",48.8544055,2.346168
"EDCY4KP3RO","Amasea","Pontus","Turkey",40.66680835,35.82794385
"7ZRP27UHXC","Otricoli","Italy","Italy",42.4120407,12.46697828
"TNB4COGLKW","Perge - Perga","Pamphylia","Turkey",36.961389,30.853889
"4H61HOD318","Tiberias","Palaestina Secunda","Israel",32.781575,35.5421525
"8GPI0VZQCZ","Thasos","Macedonia","Greece",40.779818,24.7106185
"OVPZSYYYXU","Zeugma","Syria","Turkey",37.0530905,37.8733395
"OT2GMROUUD","Pergamum","Asia Minor","Turkey",39.13121333,27.18453033
"EDFSRM4UXV","Comana/Hierapolis/Chryse","(blank)","Turkey",38.33132524,36.32398484
"GVQQVO5UNN","Aparan","(blank)","Russia",44.3567,40.5934
"62R4TVW205","Schedia/Chaireon/Menelais?","(blank)","Egypt",31.13965,30.192032
"26N4O5SKZE","Photike","Epirus","Greece",39.482048,20.496254
"3AX1OG9615","Flavias","Cilicia Secunda","Turkey",37.36638889,36.10166667
"EM01MXJLKN","Beauvais","Gaul","France",49.4303,2.0952
"57CLN2TKHR","Zoara","Palestina Tertia","Jordan",31.027273,35.4818175
"5MGM0YMKTA","Aosta","Italy","Italy",45.737444,7.3161705
"4I9VHFPFFM","Genava - Genève","Narbonensis","Switzerland",46.2019615,6.1437985
"VEHI5IS14S","Lapethos/Lepethis Phoinikon","(blank)","Northern Cyprus",35.350592,33.202109
"M31R27ACAQ","Rhaphanaea","Syria Secunda","Syria",34.94222222,36.39638889
"8DY4BNCI11","Side","Pamphylia","Turkey",36.772309,31.3940885
"8AR1SEO0C3","Pollentia","Italy","Italy",43.26792416,13.34785346
"22OE2JD8QB","Gangra","Anatolia","Turkey",40.6013428,33.6134213
"VGS7TK7FM3","Condevincum - Nantes - Civitas Namnetum - Portus Namnetum","Lugdunensis","France",47.2174470333,-1.5537724
"VN420P4RWK","Salerno","Italy","Italy",40.683333,14.766667
"0OLA2KBWAA","Saint-Germain-des-Prés","(blank)","France",48.85397,2.33439
"MR5E5CC29R","Tanagra","Boeotia","Greece",38.31666667,23.53333333
"DYFRQD0OM5","Bethania","Palestine","Palestinian Territory",31.77138889,35.26138889
"87LL1N11JO","Agaunum","Gaul","Switzerland",46.21388889,7.00416667
"YB9BMM8SIO","Italica","Spain","Spain",37.43467636,-6.036745376
"CQ21AA3RBY","Eauze","France","France",43.86098269,0.100285678
"X1ULDZJR3D","Ardfert","Ireland","Ireland",52.05971752,-9.518519585
